Original,Character,Dialogue,Wordcount
"Yuffie:I didn't even get half of that, but you sounded cool to me!",Yuffie," I didn't even get half of that, but you sounded cool to me!",12
Setzer:I'm a gambler. Deception is but one of my many talents. I'll show you just how rewarding my skills can be in battle.,Setzer, I'm a gambler. Deception is but one of my many talents. I'll show you just how rewarding my skills can be in battle.,22
Warrior of Light:We are counting on you.,Warrior of Light, We are counting on you.,4
"Hope:Yeah, we really appreciate the help.",Hope," Yeah, we really appreciate the help.",5
"Mog:Thanks, everybody, for getting him onboard, kupo!",Mog," Thanks, everybody, for getting him onboard, kupo!",6
Setzer:I can't wait. What could be more exciting than gambling with your own life?,Setzer, I can't wait. What could be more exciting than gambling with your own life?,13
Vivi:What's wrong?,Vivi, What's wrong?,1
"Setzer:Ever since I came here, all I've done is fight.",Setzer," Ever since I came here, all I've done is fight.",9
"Setzer:Nothing wrong with that, but I have to wonder if there isn't anything else in this world to do for fun.",Setzer," Nothing wrong with that, but I have to wonder if there isn't anything else in this world to do for fun.",20
"Mog:For fun? Our company isn't fun enough, kupo?",Mog," For fun? Our company isn't fun enough, kupo?",7
"Setzer:That's not what I meant. I'm talking about entertainmentgambling, games, you know?",Setzer," That's not what I meant. I'm talking about entertainment—gambling, games, you know?",11
Steiner:...Shooting what?,Steiner, ...Shooting what?,1
Tifa:Shooting Coaster. You ride in a cart that zooms down a track full of twists and turns.,Tifa, Shooting Coaster. You ride in a cart that zooms down a track full of twists and turns.,16
"Setzer:Zooms, eh? That does sound like fun.",Setzer," Zooms, eh? That does sound like fun.",6
Cloud:...It's not for everyone.,Cloud, ...It's not for everyone.,3
"Tifa:Oh, uh... Yeah... Not if you're prone to nausea.",Tifa," Oh, uh... Yeah... Not if you're prone to nausea.",8
"Vivi:Theater plays are probably the most fun in our world, right?",Vivi," Theater plays are probably the most fun in our world, right?",10
"Setzer:Theater and card games, huh? Your world sounds a lot like mine.",Setzer," Theater and card games, huh? Your world sounds a lot like mine.",11
Cloud:So what's your idea of fun?,Cloud, So what's your idea of fun?,5
Setzer:Gamblingyou could say it's what I live for.,Setzer, Gambling—you could say it's what I live for.,7
Setzer:I used to play all night at my casino against the top gamblers from around the world.,Setzer, I used to play all night at my casino against the top gamblers from around the world.,16
"Tifa:""At my...""? You run a casino!?",Tifa," ""At my...""? You run a casino!?",5
Setzer:I would love for you to come see it when this is all over.,Setzer, I would love for you to come see it when this is all over.,13
"Mog:It's too bad we still haven't found a casino in this world, kupo...",Mog," It's too bad we still haven't found a casino in this world, kupo...",12
Setzer:The sky is as vast as in any world...,Setzer, The sky is as vast as in any world...,8
Setzer:I'd be tearing it up if I only had my wings... Heh.,Setzer, I'd be tearing it up if I only had my wings... Heh.,11
"Yda:Ah, there he is! Hey! Setzer!",Yda," Ah, there he is! Hey! Setzer!",5
"Edge:What's with the moping? Come on, let's go.",Edge," What's with the moping? Come on, let's go.",7
Setzer:See that bird looking down on us?,Setzer, See that bird looking down on us?,6
Edge:Yeah? So what?,Edge, Yeah? So what?,2
"Setzer:Surrendering itself to the wind, hovering in the skywe're on the same planet, yet we live in different worlds.",Setzer," Surrendering itself to the wind, hovering in the sky—we're on the same planet, yet we live in different worlds.",18
Yda:Is it just me or is he acting unusually sentimental?,Yda, Is it just me or is he acting unusually sentimental?,9
Edge:You think he ate something funny?,Edge, You think he ate something funny?,5
Yang:Is everything okay?,Yang, Is everything okay?,2
"Laguna:What's the holdup, folks?",Laguna," What's the holdup, folks?",3
"Yda:Setzer has got the blues, if you can believe that!",Yda," Setzer has got the blues, if you can believe that!",9
Setzer:I'm just tired of treading this earth.,Setzer, I'm just tired of treading this earth.,6
Laguna:Wh-whoa! Don't tell me you're gonna jump off that cliff!,Laguna, Wh-whoa! Don't tell me you're gonna jump off that cliff!,9
"Yang:Setzer, you're not thinking straight! If you need to talk, I'm here for you!",Yang," Setzer, you're not thinking straight! If you need to talk, I'm here for you!",13
Setzer:...That's not what I meant.,Setzer, ...That's not what I meant.,4
"Laguna:Oh, really? Man, don't startle me like that.",Laguna," Oh, really? Man, don't startle me like that.",7
Yang:Let's go back to camp. Mog is waiting for us.,Yang, Let's go back to camp. Mog is waiting for us.,9
Setzer:I'll find a way back and make our wish come true.,Setzer, I'll find a way back and make our wish come true.,10
Hope:It looks like we've sealed all the Torsions in this area.,Hope, It looks like we've sealed all the Torsions in this area.,10
Sazh:Then let's fly outta here!,Sazh, Then let's fly outta here!,4
"Vaan:Hey Sazh, let me take a turn at the wheel for once!",Vaan," Hey Sazh, let me take a turn at the wheel for once!",11
"Sazh:Not in a million years, kid.",Sazh," Not in a million years, kid.",5
"Setzer:Hold up, old man.",Setzer," Hold up, old man.",3
Sazh:Old man? You talkin' about me?,Sazh, Old man? You talkin' about me?,5
Hope:Who else would he be talking about?,Hope, Who else would he be talking about?,6
"Setzer:Did you just say ""airship""? You have one?",Setzer," Did you just say ""airship""? You have one?",7
"Sazh:Of course, I do! You're lookin' at the best pilot this world's ever seen.",Sazh," Of course, I do! You're lookin' at the best pilot this world's ever seen.",13
"Setzer:I thought you were just some guy in a strange getup from another world, but it looks like we're one and the same after all.",Setzer," I thought you were just some guy in a strange getup from another world, but it looks like we're one and the same after all.",24
"Sazh:What do you mean ""one and the same""?",Sazh," What do you mean ""one and the same""?",7
"Vaan:Wait... Setzer, you're a pilot, too?",Vaan," Wait... Setzer, you're a pilot, too?",5
"Sazh:What, you too!?",Sazh," What, you too!?",2
"Hope:I thought you were a gambler, not a pilot.",Hope," I thought you were a gambler, not a pilot.",8
Setzer:Don't get me wrong. I do love gamblingto the point that I even built a casino on my airship.,Setzer, Don't get me wrong. I do love gambling—to the point that I even built a casino on my airship.,18
Setzer:But that's not my calling. What I want most is to be the fastest thing soaring across the wide blue yonder.,Setzer, But that's not my calling. What I want most is to be the fastest thing soaring across the wide blue yonder.,20
"Vaan:I know what you mean. One day, I want to be the greatest sky pirate there ever was!",Vaan," I know what you mean. One day, I want to be the greatest sky pirate there ever was!",17
"Sazh:There's nothing like flying, right!? Man, I'd love to hear some of your stories!",Sazh," There's nothing like flying, right!? Man, I'd love to hear some of your stories!",13
Shadow:Looks like they really hit it off.,Shadow, Looks like they really hit it off.,6
"Mog:I'm glad we're all friends now, kupo!",Mog," I'm glad we're all friends now, kupo!",6
Setzer:I'm sure I'll discover new revelations looking down from the clouds on what I once thought was a barren world.,Setzer, I'm sure I'll discover new revelations looking down from the clouds on what I once thought was a barren world.,19
"Setzer:All right, I've made up my mind. I'm going to become the fastest pilot in this world!",Setzer," All right, I've made up my mind. I'm going to become the fastest pilot in this world!",16
"Setzer:It doesn't matter where you are. If you're going to dream, dream big. Right, old man?",Setzer," It doesn't matter where you are. If you're going to dream, dream big. Right, old man?",15
Sazh:Now that's what I'm talkin' about!,Sazh, Now that's what I'm talkin' about!,5
"Vaan:Don't count me out yet! Come on, I challenge you to a race!",Vaan," Don't count me out yet! Come on, I challenge you to a race!",12
Hope:I wish I had something that I could get excited about.,Hope, I wish I had something that I could get excited about.,10
"Sazh:Hope, you're still young. You've got the rest of your life ahead of you to find something you enjoy.",Sazh," Hope, you're still young. You've got the rest of your life ahead of you to find something you enjoy.",18
Hope:You're right. I'll remember that.,Hope, You're right. I'll remember that.,4
"Mog:I sense another Torsion in the area, kupo.",Mog," I sense another Torsion in the area, kupo.",7
???:Oh? I wasn't expecting an audience.,???, Oh? I wasn't expecting an audience.,5
Warrior of Light:Who goes there?,Warrior of Light, Who goes there?,2
Vaan:What're you doing here?,Vaan, What're you doing here?,3
Balthier:I should be asking you that. I see you've made some interesting friends.,Balthier, I should be asking you that. I see you've made some interesting friends.,12
Vaan:Er...yeah. We're working together to seal the Torsions spreading destruction throughout this world...or something like that.,Vaan, Er...yeah. We're working together to seal the Torsions spreading destruction throughout this world...or something like that.,15
"Mog:And we're always looking for new friends that can help us, kupo!",Mog," And we're always looking for new friends that can help us, kupo!",11
"Cloud:So what does the ""leading man"" want with the Torsion?",Cloud," So what does the ""leading man"" want with the Torsion?",9
